day;pop
0;0.0
1;0.0
2;0.000907828877409664
3;0.0021256029900954595
4;0.0034380226243558255
5;0.004784854005550408
6;0.0061677373915483905
7;0.007612517914239525
8;0.009154481318035918
9;0.010833009059725755
10;0.01269009109212445
11;0.014770415177499331
12;0.017122108914645048
13;0.01979777182058657
14;0.02285566669005605
15;0.026361035476037666
16;0.030387545201390618
17;0.03501888710185442
18;0.04035056106047607
19;0.046491883131462346
20;0.053568258960140516
21;0.06172377121736678
22;0.07123279069650043
23;0.08207977229685388
24;0.0945473747793977
25;0.10890093374785542
26;0.12542979602683657
27;0.14446390647060478
28;0.16638318130244553
29;0.1916255584219087
30;0.22069565857140866
31;0.2541747207740456
32;0.2927321125872493
33;0.33713864547509764
34;0.38828194392139853
35;0.44718416053767507
36;0.5150223813027879
37;0.5931521222862736
38;0.6831343826825648
39;0.7867667904623371
40;0.9061194582589613
41;1.0435762600862755
42;1.2018785590916077
43;1.3841936735562608
44;1.5941601848272364
45;1.8359673071507294
46;2.114441385740001
47;2.4351397112807547
48;2.8044605889425083
49;3.2297703367833686
50;3.7195493535257516
51;4.283560034930277
52;4.933039775754524
53;5.680922755566351
54;6.542094721756046
55;7.533685566209688
56;8.675405149338465
57;9.989928561110375
58;11.503337827403438
59;13.245627974141849
60;15.25128635167987
61;17.559955194369095
62;20.217188533821272
63;23.275315804337104
64;26.794425649655942
65;30.84348481566309
66;35.50160775923699
67;40.8594941580845
68;47.02105164499879
69;54.10522136451124
70;62.24802343206972
71;71.6048376212014
72;82.35293134603579
73;94.69424160134425
74;106.1059537155242
75;115.5060524146493
76;122.58407483312777
77;127.41972941949916
78;130.26947090411628
79;131.45042813243163
80;131.280178170403
81;130.04805901184073
82;128.00387037197737
83;125.35579802009127
84;122.27291269062573
85;118.8896486295215
86;115.31085779995391
87;111.61671864481153
88;107.86716336733446
89;104.10569932428916
90;100.36261168022273
91;96.65758907037308
92;93.00183685963346
93;89.399748278821
94;85.52076715639335
95;81.6069977239476
96;77.7756995835696
97;74.08012145599608
98;70.54132934630992
99;67.16462484791506
100;63.94786802210212
101;60.88560762600275
102;57.97107771390773
103;55.19713176130234
104;52.55666185039855
105;50.042776651410094
106;47.648871179541814
107;45.36865051951992
108;43.19613512506757
109;41.12565906399182
110;39.15186538757014
111;37.2696999019287
112;35.47440364159165
113;33.76150415399476
114;32.1382874579788
115;30.59518853885411
116;29.1253292572007
117;27.724535906565297
118;26.389666408493092
119;25.11792988652615
120;23.906642647149436
121;22.7531632189958
122;21.65489233963389
123;20.609290499810868
124;19.613895477791097
125;18.66633482790646
126;17.764333029294946
127;16.9057144328653
128;16.088403300673274
129;15.310421985742119
130;14.569887994605077
131;13.865010421666199
132;13.194086064063145
133;12.555495407100674
134;11.94770563687629
135;11.369241940099464
136;10.818713835792302
137;10.294771179457443
138;9.796125191807507
139;9.321554501002908
140;8.869901310206517
141;8.44006591552132
142;8.031001977421834
143;7.6417128792213775
144;7.271248920516593
145;6.918705031618533
146;6.58321877717451
147;6.263968510242691
148;5.960171606114732
149;5.671082746403956
150;5.395992245584581
151;5.13422442180949
152;4.885136016942708
153;4.648114670737313
154;4.422577452872241
155;4.2079694550807245
156;4.00376244435754
157;3.809453543499358
158;3.6245640692626893
159;3.4486383432882057
160;3.2812426342890424
161;3.121964141304484
162;2.9704099969953335
163;2.8262063028024587
164;2.6889972067433514
165;2.5584440279752094
166;2.434224427459791
167;2.3160316218465145
168;2.203573637163068
169;2.09657259917957
170;1.9947640578363777
171;1.8978963436277032
172;1.805729954219469
173;1.718036969843175
174;1.6346004961736131
175;1.5552141334984193
176;1.4796814710481774
177;1.4078156053856519
178;1.3394386818432686
179;1.2743814578806894
180;1.2124828875638813
181;1.1535897258843795
182;1.0975561521205204
183;1.0442434112332837
184;0.9935194723894282
185;0.9452587038316642
186;0.8993415633735352
187;0.855654303814165
188;0.8140886925768174
189;0.7745417448900057
190;0.736915469853209
191;0.7011166287585485
192;0.6670565050715659
193;0.6346506855059013
194;0.6038188516567041
195;0.5744845816854414
196;0.5465751615743835
197;0.5200214054926733
198;0.49475748483784887
199;0.4707207655372818
200;0.4478516532135239
201;0.42609344583573944
202;0.4053921934975538
203;0.38569656497783966
204;0.36695772075782596
205;0.34912919218335137
206;0.33216676647607746
207;0.31602837731183214
208;0.3006740006977858
209;0.286065555892913
210;0.2721668111282915
211;0.2589432938953499
212;0.24636220558124233
213;0.23439234024112796
214;0.2230040073072649
215;0.21216895804449104
216;0.2018603155708702
217;0.1920525082710394
218;0.1827212064381213
219;0.1738432619879868
220;0.16539665109718688
221;0.15736041962304004
222;0.14971463117118575
223;0.14244031768240634
224;0.13551943241670641
225;0.12893480521852477
226;0.12267009995256244
227;0.11670977400504864
228;0.11103903975034893
229;0.10564382788765803
230;0.10051075255712541
231;0.09562707814914417
232;0.09098068772470644
233;0.08656005296870067
234;0.08235420560180616
235;0.07835271018023976
236;0.07454563821603549
237;0.07092354355379782
238;0.067477438942973
239;0.06419877374763563
240;0.06107941273859817
241;0.05811161591532558
242;0.05528801930768225
243;0.05260161670996033
244;0.050045742301943606
245;0.04761405411395434
246;0.04530051829491761
247;0.04309939414446416
248;0.04100521987198307
249;0.03901279904733385
